	Day2_BFP_Rep1	Day2_BFP_Rep2	Day2_BFP_Rep3	Day2_Hic2_Rep1	Day2_Hic2_Rep2	Day2_Hic2_Rep3	Day4_BFP_Rep1	Day4_BFP_Rep1-2	Day4_BFP_Rep2	Day4_BFP_Rep3	Day4_Hic2_Rep1	Day4_Hic2_Rep1-2	Day4_Hic2_Rep2	Day4_Hic2_Rep3	Day6_BFP_Rep1	Day6_BFP_Rep2	Day6_BFP_Rep3	Day6_Hic2_Rep1	Day6_Hic2_Rep2	Day6_Hic2_Rep3	Day10_BFP_Rep1	Day10_BFP_Rep2	Day10_BFP_Rep3	Day10_Hic2_Rep1	Day10_Hic2_Rep2	Day10_Hic2_Rep3	ESC_BFP_Rep1	ESC_BFP_Rep2	ESC_BFP_Rep3	ESC_Hic2-gRNA_Rep1	ESC_Hic2-gRNA_Rep2	ESC_Hic2-gRNA_Rep3	ESC_Zeo-gRNA_Rep1	ESC_Zeo-gRNA_Rep2	ESC_Zeo-gRNA_Rep3	iPSC_BFP_Rep1	iPSC_BFP_Rep2	iPSC_BFP_Rep3	iPSC_Hic2_Rep1	iPSC_Hic2_Rep2	iPSC_Hic2_Rep3	MEF_BFP_Rep1	MEF_BFP_Rep2	MEF_BFP_Rep3	MEF_Hic2_Rep1	MEF_Hic2_Rep2	MEF_Hic2_Rep3
Tmigd1	1.218415003	6.255745735	2.829456962	1.105100869	1.933837902	5.853749504	12.65643843	0.926298978	1.319050368	1.481392828	1.565504458	2.444868219	2.253142761	2.366770739	0	0	19.21018401	0	0	0	16.38386356	19.3678239	35.78982489	0	13.61874421	2.916106341	0	0	0	0	0.796621874	0	0	0	0.916541782	0	0	0	0	0	0	4.036593225	4.377847418	7.110978478	1.447310879	6.263933614	7.21221795
Blmh	6180.140292	6219.003847	6109.265683	6145.750323	6463.11333	5870.25033	6234.346383	6263.969399	7058.60351	6098.290829	6903.413783	7005.997699	6220.36699	6778.484551	11956.81953	10410.01196	10516.1504	7720.115034	7229.556968	8703.622531	8394.037841	7440.596488	8817.293468	5333.718876	5697.184719	5138.379079	3785.407675	3394.315713	3459.856283	3944.970486	3735.126176	4095.168706	4017.592971	3816.163982	3849.3904	3174.733259	3090.582903	3770.08411	3624.197965	3484.760053	3026.370652	3036.801551	2955.134669	2862.603278	3505.572971	3867.798384	3352.524856
Cpd	3662.02933	3233.959657	3478.495172	2453.628632	4825.079385	3116.500777	2833.381048	2094.391499	1531.112976	1750.070887	981.0381413	1014.126701	837.4816725	1210.782852	589.0190289	849.1281657	1443.058853	413.4539271	1045.6911	471.2642359	956.8063556	1250.115844	442.2258902	811.506863	998.2399161	1020.571181	267.3590557	488.6492831	503.5806081	562.8344115	857.0182769	1336.623062	536.7838266	245.400095	622.7233144	565.8498922	300.6488556	433.2754036	718.6676441	482.1647603	363.2367201	6846.991438	7892.421177	7381.962409	6683.974131	8942.503131	8716.66467
Timm22	1566.787404	1544.733355	1883.028557	1566.604997	1567.857377	1651.564315	1797.159598	1778.92103	1337.58084	1710.897347	1110.267638	1076.6253	886.4558475	1058.982594	2863.718185	2322.591635	2597.550358	2681.215124	1935.476863	1720.01776	1599.43795	1490.63299	1686.43396	1300.073688	1165.481892	1233.003346	641.4788155	513.577414	519.5631129	622.8486078	641.9556026	585.5515451	573.0089639	623.3571594	669.7249928	523.5962482	510.2016455	768.6139033	896.2369903	535.2963497	530.401633	1116.644243	1109.718111	978.3301749	949.5657605	1022.813751	1040.297247
Nxn	4922.677384	5007.47362	5084.875724	4705.477882	4368.401656	4290.725487	4514.029338	4480.628051	4487.606437	4560.206956	3188.748096	3154.27715	2922.527638	3062.936526	6474.363779	6275.226342	6116.638581	4217.334844	3557.2597	3950.14642	5100.159388	3772.2818	4035.397693	2422.360953	2541.003956	2379.335266	433.3352501	343.9645291	631.9483097	806.7272901	939.4530794	838.2264778	447.9806338	432.8908718	487.9607347	600.3245281	619.5871092	454.8859341	618.804269	672.9338701	751.6853586	7896.257686	8352.707084	7709.472006	5571.55212	7217.926127	7793.919282
Rflnb	3243.356042	2849.97422	3027.639194	2910.707454	2413.927832	2613.368481	1976.170794	2043.654241	1651.47401	1917.482208	1401.751749	1355.754899	1241.906244	1308.537463	1533.753877	1017.272708	1438.847841	1035.509569	1362.092984	959.4827388	637.2203323	552.5732798	646.5012769	1044.250647	1764.832923	1324.452606	12.19597643	5.693913795	16.5552216	15.92974286	29.95148488	27.85470658	14.66647516	14.73435955	4.135229757	7.285745637	14.61214265	18.19413409	21.45847302	13.18306619	9.205320593	736.5822308	860.3032333	711.6621723	856.5104878	1516.698105	1449.575086
Rph3al	33.72150726	44.28478549	49.25734289	19.53999634	15.60296696	29.05949521	74.1119936	84.27546843	94.3979147	85.66780311	39.49618066	47.83837278	40.56149131	45.19282016	85.09584361	125.7803332	57.4940605	7.332647684	13.32734231	37.70276747	35.4536519	33.33761148	28.3052925	3.697272492	9.592498256	25.97065562	17.68926239	10.53352885	8.750441289	103.7151283	132.1311747	109.6156501	10.85297353	38.30076572	9.180025585	14.30870321	18.80668746	32.95696072	21.20315229	39.77667403	23.84083457	14.22546436	8.456102777	26.73425903	3.221372424	3.520178195	4.586484267
Doc2b	8.245820446	3.378347819	3.191467878	6.694079447	10.90630045	5.201768474	37.47382697	32.0409322	18.84564936	23.76430312	18.10380488	14.80963643	16.94278641	12.38157958	11.0474469	29.32956214	23.27674758	0	7.828120597	18.86382507	34.9068066	25.74384665	18.90354611	26.64754443	4.938322276	26.31362793	1.355108492	2.846956897	4.730063315	19.34325919	35.94178186	42.339154	0	4.018461696	0	0	2.92242853	0	7.573578711	1.464785133	0	40.47155114	40.60104545	52.49966845	18.5014972	58.09299161	65.07980075
Ywhae	27811.11228	28447.48122	28366.98732	29160.18505	30000.65401	28636.93185	23419.54434	23128.80179	25694.6146	22831.84456	27517.24536	26521.69738	25607.31797	24799.51839	31714.84823	31207.46758	30053.07391	38050.09757	37633.09203	34646.60095	31926.25445	38119.63414	36477.05356	40604.30663	41410.18473	39506.90345	32238.72807	31117.37222	30305.57191	30278.9588	29740.20363	29726.5773	34116.72349	35270.73451	33551.42993	29397.45745	30444.49973	34560.49468	28330.23386	30398.26356	29917.06592	27497.53674	25856.15606	26093.08132	31520.95807	28460.25374	26861.29389
Prpf8	17799.36948	16727.3552	18807.45465	20041.66616	18454.32267	20382.73673	14564.78492	14917.74009	15750.32661	15049.3042	18454.08879	18578.18349	18537.05767	18252.14187	7936.086386	11048.46448	9118.149011	11481.36932	13188.55867	13167.27498	9485.605264	12331.48095	8907.812451	15390.21858	16162.11169	15846.83757	22286.69724	20450.43703	25523.27944	23374.35844	24551.10433	24680.58016	22739.57686	20904.47566	23189.13282	24189.63039	22839.05796	18208.8793	18574.18678	23232.16538	23633.24897	17531.07946	16565.62009	16622.31789	20116.97236	17952.85143	16700.60267
