Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genetic modification]	Characteristics[stimulus]	Characteristics[genotype]	Characteristics[replicate]	Description	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Factor Value[cell type]	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number	Factor Value[replicate]
Sample 28	ERS16170870	SAMEA114190174	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 28	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 28	sequencing assay	ERX11157143	HJNGNBGXB_Sample28.fastq.gz	HJNGNBGXB_Sample28.fastq.gz	ERR11757975	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/075/ERR11757975/ERR11757975.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	6	day	EFO	UO_0000033	Sequence batch 1
Sample 29	ERS16170871	SAMEA114190175	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 29	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 29	sequencing assay	ERX11157144	HJNGNBGXB_Sample29.fastq.gz	HJNGNBGXB_Sample29.fastq.gz	ERR11757976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/076/ERR11757976/ERR11757976.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	6	day	EFO	UO_0000033	Sequence batch 1
Sample 3	ERS16170850	SAMEA114190154	Mus musculus	129 mouse strain	Cas9 TNG MKOS	mouse E12.5	normal	embryonic tissue	mouse embryonic fibroblast	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Mouse embryonic fibroblast	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 3	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 3	sequencing assay	ERX11157123	HJNLTBGXB_Sample3.fastq.gz	HJNLTBGXB_Sample3.fastq.gz	ERR11757955	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/055/ERR11757955/ERR11757955.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	mouse embryonic fibroblast	0	day	EFO	UO_0000033	Sequence batch 1
Sample 30	ERS16170872	SAMEA114190176	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 30	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 30	sequencing assay	ERX11157145	HJNGNBGXB_Sample30.fastq.gz	HJNGNBGXB_Sample30.fastq.gz	ERR11757977	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/077/ERR11757977/ERR11757977.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	6	day	EFO	UO_0000033	Sequence batch 1
Sample 31	ERS16170838	SAMEA114190142	Mus musculus	129 mouse strain	E14Tg2a		normal	embryonic tissue	embryonic stem cell	BFP overexpression	+doxycycline	wild type genotype	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 31	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 31	sequencing assay	ERX11157111	HYJTJBGXH_Sample1.txt.gz	HYJTJBGXH_Sample1.txt.gz	ERR11757943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/043/ERR11757943/ERR11757943.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 32	ERS16170839	SAMEA114190143	Mus musculus	129 mouse strain	E14Tg2a		normal	embryonic tissue	embryonic stem cell	BFP overexpression	+doxycycline	wild type genotype	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 32	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 32	sequencing assay	ERX11157112	HYJTJBGXH_Sample2.txt.gz	HYJTJBGXH_Sample2.txt.gz	ERR11757944	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/044/ERR11757944/ERR11757944.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 33	ERS16170840	SAMEA114190144	Mus musculus	129 mouse strain	E14Tg2a		normal	embryonic tissue	embryonic stem cell	BFP overexpression	+doxycycline	wild type genotype	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 33	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 33	sequencing assay	ERX11157113	HYJTJBGXH_Sample3.txt.gz	HYJTJBGXH_Sample3.txt.gz	ERR11757945	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/045/ERR11757945/ERR11757945.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 34	ERS16170841	SAMEA114190145	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	induced pluripotent stem cell	BFP overexpression	-doxycyclin	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	iPS cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 34	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 34	sequencing assay	ERX11157114	HYJTJBGXH_Sample7.txt.gz	HYJTJBGXH_Sample7.txt.gz	ERR11757946	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/046/ERR11757946/ERR11757946.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	induced pluripotent stem cell					Sequence batch 2
Sample 35	ERS16170842	SAMEA114190146	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	induced pluripotent stem cell	BFP overexpression	-doxycyclin	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	iPS cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 35	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 35	sequencing assay	ERX11157115	HYJTJBGXH_Sample8.txt.gz	HYJTJBGXH_Sample8.txt.gz	ERR11757947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/047/ERR11757947/ERR11757947.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	induced pluripotent stem cell					Sequence batch 2
Sample 36	ERS16170843	SAMEA114190147	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	induced pluripotent stem cell	BFP overexpression	-doxycyclin	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	iPS cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 36	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 36	sequencing assay	ERX11157116	HYJTJBGXH_Sample9.txt.gz	HYJTJBGXH_Sample9.txt.gz	ERR11757948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/048/ERR11757948/ERR11757948.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	induced pluripotent stem cell					Sequence batch 2
Sample 37	ERS16170844	SAMEA114190148	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	induced pluripotent stem cell	Hic2 overexpression	-doxycyclin	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	iPS cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 37	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 37	sequencing assay	ERX11157117	HYJTJBGXH_Sample10.txt.gz	HYJTJBGXH_Sample10.txt.gz	ERR11757949	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/049/ERR11757949/ERR11757949.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	induced pluripotent stem cell					Sequence batch 2
Sample 38	ERS16170845	SAMEA114190149	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	induced pluripotent stem cell	Hic2 overexpression	-doxycyclin	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	iPS cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 38	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 38	sequencing assay	ERX11157118	HYJTJBGXH_Sample11.txt.gz	HYJTJBGXH_Sample11.txt.gz	ERR11757950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/050/ERR11757950/ERR11757950.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	induced pluripotent stem cell					Sequence batch 2
Sample 39	ERS16170846	SAMEA114190150	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	induced pluripotent stem cell	Hic2 overexpression	-doxycyclin	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	iPS cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 39	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 39	sequencing assay	ERX11157119	HYJTJBGXH_Sample12.txt.gz	HYJTJBGXH_Sample12.txt.gz	ERR11757951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/051/ERR11757951/ERR11757951.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	induced pluripotent stem cell					Sequence batch 2
Sample 4	ERS16170873	SAMEA114190177	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 4	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 4	sequencing assay	ERX11157146	HJNLTBGXB_Sample4.fastq.gz	HJNLTBGXB_Sample4.fastq.gz	ERR11757978	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/078/ERR11757978/ERR11757978.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	4	day	EFO	UO_0000033	Sequence batch 1
Sample 40	ERS17080804	SAMEA114664861	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	embryonic stem cell	Control gRNA expression	none	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 40	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 40	sequencing assay	ERX11690019	HYJTJBGXH_Sample13.txt.gz	HYJTJBGXH_Sample13.txt.gz	ERR12313115	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/015/ERR12313115/ERR12313115.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 41	ERS17080805	SAMEA114664862	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	embryonic stem cell	Control gRNA expression	none	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 41	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 41	sequencing assay	ERX11690020	HYJTJBGXH_Sample14.txt.gz	HYJTJBGXH_Sample14.txt.gz	ERR12313116	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/016/ERR12313116/ERR12313116.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 42	ERS17080806	SAMEA114664863	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	embryonic stem cell	Control gRNA expression	none	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 42	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 42	sequencing assay	ERX11690021	HYJTJBGXH_Sample15.txt.gz	HYJTJBGXH_Sample15.txt.gz	ERR12313117	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/017/ERR12313117/ERR12313117.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 43	ERS17080807	SAMEA114664864	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	embryonic stem cell	Hic2 gRNA expression	none	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 43	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 43	sequencing assay	ERX11690022	HYJTJBGXH_Sample16.txt.gz	HYJTJBGXH_Sample16.txt.gz	ERR12313118	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/018/ERR12313118/ERR12313118.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 44	ERS17080808	SAMEA114664865	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	embryonic stem cell	Hic2 gRNA expression	none	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 44	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 44	sequencing assay	ERX11690023	HYJTJBGXH_Sample17.txt.gz	HYJTJBGXH_Sample17.txt.gz	ERR12313119	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/019/ERR12313119/ERR12313119.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 45	ERS17080809	SAMEA114664866	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	embryonic stem cell	Hic2 gRNA expression	none	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	ES cell	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 45	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 45	sequencing assay	ERX11690024	HYJTJBGXH_Sample18.txt.gz	HYJTJBGXH_Sample18.txt.gz	ERR12313120	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/020/ERR12313120/ERR12313120.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	embryonic stem cell					Sequence batch 2
Sample 46	ERS17080810	SAMEA114664867	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 46	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 46	sequencing assay	ERX11690025	HYJTJBGXH_batch1_Sample2.txt.gz	HYJTJBGXH_batch1_Sample2.txt.gz	ERR12313121	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/021/ERR12313121/ERR12313121.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	4	day	EFO	UO_0000033	Sequence batch 2
Sample 47	ERS17080811	SAMEA114664868	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 2	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 47	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 47	sequencing assay	ERX11690026	HYJTJBGXH_batch1_Sample17.txt.gz	HYJTJBGXH_batch1_Sample17.txt.gz	ERR12313122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/022/ERR12313122/ERR12313122.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	4	day	EFO	UO_0000033	Sequence batch 2
Sample 5	ERS16170851	SAMEA114190155	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	mouse embryonic fibroblast	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Mouse embryonic fibroblast	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 5	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 5	sequencing assay	ERX11157124	HJNLTBGXB_Sample5.fastq.gz	HJNLTBGXB_Sample5.fastq.gz	ERR11757956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/056/ERR11757956/ERR11757956.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	mouse embryonic fibroblast	0	day	EFO	UO_0000033	Sequence batch 1
Sample 6	ERS16170874	SAMEA114190178	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 6	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 6	sequencing assay	ERX11157147	HJNLTBGXB_Sample6.fastq.gz	HJNLTBGXB_Sample6.fastq.gz	ERR11757979	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/079/ERR11757979/ERR11757979.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	4	day	EFO	UO_0000033	Sequence batch 1
Sample 7	ERS16170852	SAMEA114190156	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	mouse embryonic fibroblast	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Mouse embryonic fibroblast	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 7	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 7	sequencing assay	ERX11157125	HJNLTBGXB_Sample7.fastq.gz	HJNLTBGXB_Sample7.fastq.gz	ERR11757957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/057/ERR11757957/ERR11757957.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	mouse embryonic fibroblast	0	day	EFO	UO_0000033	Sequence batch 1
Sample 8	ERS16170875	SAMEA114190179	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 8	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 8	sequencing assay	ERX11157148	HJNLTBGXB_Sample8.fastq.gz	HJNLTBGXB_Sample8.fastq.gz	ERR11757980	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/080/ERR11757980/ERR11757980.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	2	day	EFO	UO_0000033	Sequence batch 1
Sample 9	ERS16170876	SAMEA114190180	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 9	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 9	sequencing assay	ERX11157149	HJNLTBGXB_Sample9.fastq.gz	HJNLTBGXB_Sample9.fastq.gz	ERR11757981	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/081/ERR11757981/ERR11757981.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	2	day	EFO	UO_0000033	Sequence batch 1
