Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genetic modification]	Characteristics[stimulus]	Characteristics[genotype]	Characteristics[replicate]	Description	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Factor Value[cell type]	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number	Factor Value[replicate]
Sample 19	ERS16170860	SAMEA114190164	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 19	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 19	sequencing assay	ERX11157133	HJNGNBGXB_Sample19.fastq.gz	HJNGNBGXB_Sample19.fastq.gz	ERR11757965	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/065/ERR11757965/ERR11757965.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	10	day	EFO	UO_0000033	Sequence batch 1
Sample 2	ERS16170861	SAMEA114190165	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 2	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 2	sequencing assay	ERX11157134	HJNLTBGXB_Sample2.fastq.gz	HJNLTBGXB_Sample2.fastq.gz	ERR11757966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/066/ERR11757966/ERR11757966.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	4	day	EFO	UO_0000033	Sequence batch 1
Sample 20	ERS16170862	SAMEA114190166	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 20	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 20	sequencing assay	ERX11157135	HJNGNBGXB_Sample20.fastq.gz	HJNGNBGXB_Sample20.fastq.gz	ERR11757967	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/067/ERR11757967/ERR11757967.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	10	day	EFO	UO_0000033	Sequence batch 1
Sample 21	ERS16170863	SAMEA114190167	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 21	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 21	sequencing assay	ERX11157136	HJNGNBGXB_Sample21.fastq.gz	HJNGNBGXB_Sample21.fastq.gz	ERR11757968	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/068/ERR11757968/ERR11757968.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	10	day	EFO	UO_0000033	Sequence batch 1
Sample 22	ERS16170864	SAMEA114190168	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 22	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 22	sequencing assay	ERX11157137	HJNGNBGXB_Sample22.fastq.gz	HJNGNBGXB_Sample22.fastq.gz	ERR11757969	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/069/ERR11757969/ERR11757969.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	10	day	EFO	UO_0000033	Sequence batch 1
Sample 23	ERS16170865	SAMEA114190169	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 23	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 23	sequencing assay	ERX11157138	HJNGNBGXB_Sample23.fastq.gz	HJNGNBGXB_Sample23.fastq.gz	ERR11757970	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/070/ERR11757970/ERR11757970.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	10	day	EFO	UO_0000033	Sequence batch 1
Sample 24	ERS16170866	SAMEA114190170	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 24	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 24	sequencing assay	ERX11157139	HJNGNBGXB_Sample24.fastq.gz	HJNGNBGXB_Sample24.fastq.gz	ERR11757971	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/071/ERR11757971/ERR11757971.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	10	day	EFO	UO_0000033	Sequence batch 1
Sample 25	ERS16170867	SAMEA114190171	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 25	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 25	sequencing assay	ERX11157140	HJNGNBGXB_Sample25.fastq.gz	HJNGNBGXB_Sample25.fastq.gz	ERR11757972	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/072/ERR11757972/ERR11757972.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	6	day	EFO	UO_0000033	Sequence batch 1
Sample 26	ERS16170868	SAMEA114190172	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 26	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 26	sequencing assay	ERX11157141	HJNGNBGXB_Sample26.fastq.gz	HJNGNBGXB_Sample26.fastq.gz	ERR11757973	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/073/ERR11757973/ERR11757973.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	6	day	EFO	UO_0000033	Sequence batch 1
Sample 27	ERS16170869	SAMEA114190173	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 27	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 27	sequencing assay	ERX11157142	HJNGNBGXB_Sample27.fastq.gz	HJNGNBGXB_Sample27.fastq.gz	ERR11757974	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/074/ERR11757974/ERR11757974.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	6	day	EFO	UO_0000033	Sequence batch 1
